Voltage,Wavelength,InsertionLoss
0.500,1545.0000,-119.0470
0.500,1545.0001,-119.0464
0.500,1545.0002,-119.0485
0.500,1545.0003,-119.0499
0.500,1545.0004,-119.0476
0.500,1545.0005,-119.0459
0.500,1545.0006,-119.0484
0.500,1545.0007,-119.0502
0.500,1545.0008,-119.0480
0.500,1545.0009,-119.0463
0.500,1545.0010,-119.0479
0.500,1545.0011,-119.0488
0.500,1545.0012,-119.0476
0.500,1545.0013,-119.0472
0.500,1545.0014,-119.0496
0.500,1545.0015,-119.0502
0.500,1545.0016,-119.0475
0.500,1545.0017,-119.0464
0.500,1545.0018,-119.0495
0.500,1545.0019,-119.0506
0.500,1545.0020,-119.0498
0.500,1545.0021,-119.0482
0.500,1545.0022,-119.0486
0.500,1545.0023,-119.0502
0.500,1545.0024,-119.0510
0.500,1545.0025,-119.0487
0.500,1545.0026,-119.0486
0.500,1545.0027,-119.0494
0.500,1545.0028,-119.0496
0.500,1545.0029,-119.0494
0.500,1545.0030,-119.0485
0.500,1545.0031,-119.0494
0.500,1545.0032,-119.0493
0.500,1545.0033,-119.0482
0.500,1545.0034,-119.0485
0.500,1545.0035,-119.0490
0.500,1545.0036,-119.0499
0.500,1545.0037,-119.0489
0.500,1545.0038,-119.0494
0.500,1545.0039,-119.0503
0.500,1545.0040,-119.0501
0.500,1545.0041,-119.0486
0.500,1545.0042,-119.0488
0.500,1545.0043,-119.0511
0.500,1545.0044,-119.0506
0.500,1545.0045,-119.0497
0.500,1545.0046,-119.0492
0.500,1545.0047,-119.0502
0.500,1545.0048,-119.0503
0.500,1545.0049,-119.0497
0.500,1545.0050,-119.0506
0.500,1545.0051,-119.0511
0.500,1545.0052,-119.0504
0.500,1545.0053,-119.0494
0.500,1545.0054,-119.0498
0.500,1545.0055,-119.0517
0.500,1545.0056,-119.0509
0.500,1545.0057,-119.0501
0.500,1545.0058,-119.0501
0.500,1545.0059,-119.0513
0.500,1545.0060,-119.0508
0.500,1545.0061,-119.0503
0.500,1545.0062,-119.0508
0.500,1545.0063,-119.0510
0.500,1545.0064,-119.0511
0.500,1545.0065,-119.0499
0.500,1545.0066,-119.0497
