Voltage,Wavelength,InsertionLoss
1.000,1545.0000,-99.6567
1.000,1545.0001,-99.6554
1.000,1545.0002,-99.6565
1.000,1545.0003,-99.6592
1.000,1545.0004,-99.6597
1.000,1545.0005,-99.6614
1.000,1545.0006,-99.6603
1.000,1545.0007,-99.6557
1.000,1545.0008,-99.6550
1.000,1545.0009,-99.6572
1.000,1545.0010,-99.6616
1.000,1545.0011,-99.6596
1.000,1545.0012,-99.6536
1.000,1545.0013,-99.6552
1.000,1545.0014,-99.6553
1.000,1545.0015,-99.6546
1.000,1545.0016,-99.6547
1.000,1545.0017,-99.6530
1.000,1545.0018,-99.6533
1.000,1545.0019,-99.6551
1.000,1545.0020,-99.6565
1.000,1545.0021,-99.6580
1.000,1545.0022,-99.6541
1.000,1545.0023,-99.6541
1.000,1545.0024,-99.6561
1.000,1545.0025,-99.6581
1.000,1545.0026,-99.6567
1.000,1545.0027,-99.6541
1.000,1545.0028,-99.6544
1.000,1545.0029,-99.6562
1.000,1545.0030,-99.6602
1.000,1545.0031,-99.6604
1.000,1545.0032,-99.6567
1.000,1545.0033,-99.6579
1.000,1545.0034,-99.6572
1.000,1545.0035,-99.6571
1.000,1545.0036,-99.6569
1.000,1545.0037,-99.6567
1.000,1545.0038,-99.6579
1.000,1545.0039,-99.6571
1.000,1545.0040,-99.6571
1.000,1545.0041,-99.6572
1.000,1545.0042,-99.6575
1.000,1545.0043,-99.6568
1.000,1545.0044,-99.6553
1.000,1545.0045,-99.6572
1.000,1545.0046,-99.6582
1.000,1545.0047,-99.6570
1.000,1545.0048,-99.6555
1.000,1545.0049,-99.6560
1.000,1545.0050,-99.6581
1.000,1545.0051,-99.6587
1.000,1545.0052,-99.6580
1.000,1545.0053,-99.6598
1.000,1545.0054,-99.6601
1.000,1545.0055,-99.6579
1.000,1545.0056,-99.6582
1.000,1545.0057,-99.6592
1.000,1545.0058,-99.6598
1.000,1545.0059,-99.6586
1.000,1545.0060,-99.6570
1.000,1545.0061,-99.6565
1.000,1545.0062,-99.6558
1.000,1545.0063,-99.6570
1.000,1545.0064,-99.6582
1.000,1545.0065,-99.6584
1.000,1545.0066,-99.6571
1.000,1545.0067,-99.6565
1.000,1545.0068,-99.6571
1.000,1545.0069,-99.6561
1.000,1545.0070,-99.6562
1.000,1545.0071,-99.6568
1.000,1545.0072,-99.6553
1.000,1545.0073,-99.6559
1.000,1545.0074,-99.6593
1.000,1545.0075,-99.6575
1.000,1545.0076,-99.6552
1.000,1545.0077,-99.6556
1.000,1545.0078,-99.6588
1.000,1545.0079,-99.6597
1.000,1545.0080,-99.6601
1.000,1545.0081,-99.6583
1.000,1545.0082,-99.6554
1.000,1545.0083,-99.6570
1.000,1545.0084,-99.6585
1.000,1545.0085,-99.6585
1.000,1545.0086,-99.6580
1.000,1545.0087,-99.6564
1.000,1545.0088,-99.6578
1.000,1545.0089,-99.6578
1.000,1545.0090,-99.6595
1.000,1545.0091,-99.6595
1.000,1545.0092,-99.6584
1.000,1545.0093,-99.6598
1.000,1545.0094,-99.6628
1.000,1545.0095,-99.6652
1.000,1545.0096,-99.6627
1.000,1545.0097,-99.6556
1.000,1545.0098,-99.6581
1.000,1545.0099,-99.6625
1.000,1545.0100,-99.6639
1.000,1545.0101,-99.6646
1.000,1545.0102,-99.6643
1.000,1545.0103,-99.6636
1.000,1545.0104,-99.6616
1.000,1545.0105,-99.6637
1.000,1545.0106,-99.6635
1.000,1545.0107,-99.6629
1.000,1545.0108,-99.6609
1.000,1545.0109,-99.6617
1.000,1545.0110,-99.6604
1.000,1545.0111,-99.6618
1.000,1545.0112,-99.6644
1.000,1545.0113,-99.6611
1.000,1545.0114,-99.6580
1.000,1545.0115,-99.6588
1.000,1545.0116,-99.6596
1.000,1545.0117,-99.6590
1.000,1545.0118,-99.6590
1.000,1545.0119,-99.6588
1.000,1545.0120,-99.6597
1.000,1545.0121,-99.6601
1.000,1545.0122,-99.6584
1.000,1545.0123,-99.6551
1.000,1545.0124,-99.6554
1.000,1545.0125,-99.6587
1.000,1545.0126,-99.6613
1.000,1545.0127,-99.6598
1.000,1545.0128,-99.6574
