Frequency_Hz,Magnitude_dB
10000000.0,-63.30041606600582
14998333.3333,-64.09297253609017
19996666.6667,-76.27507700142728
24995000.0,-67.43854497751387
29993333.3333,-65.55919473945232
34991666.6667,-74.30959946482317
39990000.0,-74.0488456883469
44988333.3333,-76.9031777246013
49986666.6667,-78.0361514458728
54985000.0,-68.74676221205806
59983333.3333,-73.56434362997102
64981666.6667,-69.44204267752748
69980000.0,-78.79115920079884
74978333.3333,-74.72738100001573
79976666.6667,-68.27445226753191
84975000.0,-75.7912064515389
89973333.3333,-71.82947269412747
94971666.6667,-73.25025886668696
99970000.0,-77.59034531115981
104968333.333,-93.12835397366985
109966666.667,-84.60354560557744
114965000.0,-79.90425061586633
119963333.333,-79.13869938467406
124961666.667,-71.2243912053468
129960000.0,-72.73522266225231
134958333.333,-75.29288990777634
139956666.667,-74.80201347649805
144955000.0,-74.58859218640947
149953333.333,-76.21451478026479
154951666.667,-79.13526364232375
159950000.0,-77.68664596644331
164948333.333,-84.27339945876234
169946666.667,-85.33371792716791
174945000.0,-82.51214199744103
179943333.333,-92.0171855803588
184941666.667,-82.58055709379204
189940000.0,-80.58744102897333
194938333.333,-77.27800932357331
199936666.667,-77.97734392351637
204935000.0,-88.8763193993895
209933333.333,-78.30972688225224
214931666.667,-82.38951119697546
219930000.0,-87.32971459151442
224928333.333,-86.88968705176661
229926666.667,-79.1225819860944
234925000.0,-91.17346411613664
239923333.333,-80.79567079058106
244921666.667,-86.56509545174683
249920000.0,-83.00727399242726
254918333.333,-82.20994063707089
259916666.667,-72.22363848825576
264915000.0,-76.49752489182724
269913333.333,-92.34064420366704
274911666.667,-76.88630740052017
279910000.0,-78.21678730129834
284908333.333,-78.45073751014266
289906666.667,-75.92702440123824
294905000.0,-80.32935635835236
299903333.333,-75.6720621452624
304901666.667,-78.9305222112184
309900000.0,-97.68823813747447
314898333.333,-75.84947384959881
319896666.667,-74.08127299306108
324895000.0,-88.6419415525533
329893333.333,-76.62532395247393
334891666.667,-79.38383647882135
339890000.0,-92.30146545367928
344888333.333,-79.74447328274812
349886666.667,-80.72103026130304
354885000.0,-86.05714618508
359883333.333,-82.45369451590733
364881666.667,-82.00243284781868
369880000.0,-87.85760338470689
374878333.333,-78.1306514158617
379876666.667,-82.76562800362487
384875000.0,-78.98710543266577
389873333.333,-78.84735019955133
394871666.667,-83.67882456130533
399870000.0,-77.9337101272793
404868333.333,-100.87994706688556
409866666.667,-79.15478236622351
414865000.0,-83.83986931491124
419863333.333,-76.90941837207325
424861666.667,-88.50163289889663
429860000.0,-82.36713437590014
434858333.333,-85.96003133583609
439856666.667,-80.50841845361651
444855000.0,-83.82136996975598
449853333.333,-84.11653964572136
454851666.667,-90.39674054333864
459850000.0,-87.02706880578661
464848333.333,-78.59332071437288
469846666.667,-89.83596192791165
474845000.0,-77.18224693458882
479843333.333,-88.17792186479245
484841666.667,-84.74509612350424
489840000.0,-77.55412849705858
494838333.333,-87.11758445114734
499836666.667,-81.30709292621559
504835000.0,-88.52562742732674
509833333.333,-85.40095616762706
514831666.667,-79.64180894270112
519830000.0,-82.15690091477718
524828333.333,-89.22448111334077
529826666.667,-81.33192690763318
534825000.0,-78.32797023291428
539823333.333,-81.43012292606615
544821666.667,-84.91006117026413
549820000.0,-80.13426036605193
554818333.333,-91.40858229136624
559816666.667,-83.67410041197826
564815000.0,-77.42245976520954
569813333.333,-84.92449647302078
574811666.667,-102.44490196973295
579810000.0,-83.05929218346935
584808333.333,-80.59160533002975
589806666.667,-81.26621688546125
594805000.0,-90.88760811827365
599803333.333,-93.75087647744374
604801666.667,-85.37595690165142
609800000.0,-88.86864178084237
614798333.333,-76.05463460712215
619796666.667,-80.98065687873029
624795000.0,-81.27936416694867
629793333.333,-85.36762397812853
634791666.667,-79.91482257866326
639790000.0,-75.75822359625624
644788333.333,-80.14998242882828
649786666.667,-83.065562920594
654785000.0,-87.04940424787236
659783333.333,-94.22268757675243
664781666.667,-76.42689844676595
669780000.0,-82.45962042310794
674778333.333,-81.9633854442018
679776666.667,-89.99925819880735
684775000.0,-87.36908423521271
689773333.333,-87.13759109950523
694771666.667,-93.2180392012088
699770000.0,-89.39591691918326
704768333.333,-86.48601880766769
709766666.667,-82.20688323012257
714765000.0,-84.30782657829604
719763333.333,-90.28345583895864
724761666.667,-76.61007576318637
729760000.0,-79.47165789081932
734758333.333,-85.73890922625922
739756666.667,-84.24582335412295
744755000.0,-79.92042369912329
749753333.333,-77.08475883296008
754751666.667,-76.36457248354398
759750000.0,-88.04363493812296
764748333.333,-87.49248039751063
769746666.667,-82.03557008784493
774745000.0,-78.61209015480047
779743333.333,-80.9690232285721
784741666.667,-79.86909549697026
789740000.0,-85.07372752661121
794738333.333,-91.08412141110881
799736666.667,-88.15394711696723
804735000.0,-83.38206546985433
809733333.333,-83.94989088187353
814731666.667,-96.64145649060302
819730000.0,-80.77226199550626
824728333.333,-80.29082780576098
829726666.667,-82.88287901434197
834725000.0,-87.32956812710577
839723333.333,-86.56649558305007
844721666.667,-96.81216805638687
849720000.0,-82.47176853761248
854718333.333,-87.84068748764443
859716666.667,-90.2809685663118
864715000.0,-93.2821504745404
869713333.333,-95.65048049942135
874711666.667,-76.5756128679107
879710000.0,-87.37383282235749
884708333.333,-94.63023681368054
889706666.667,-84.64418063624461
894705000.0,-89.79390473824898
899703333.333,-82.9925950077674
904701666.667,-86.81081378050125
909700000.0,-102.87431740007266
914698333.333,-86.49526815570773
919696666.667,-82.94383258383624
924695000.0,-86.15475737296396
929693333.333,-82.8378423343882
934691666.667,-80.59858602163673
939690000.0,-80.02793939454386
944688333.333,-83.80750140840183
949686666.667,-87.46249363436078
954685000.0,-86.54783929136983
959683333.333,-78.17703840402781
964681666.667,-88.9208997236946
969680000.0,-80.43682175556384
974678333.333,-88.18275280430831
979676666.667,-94.57055655608318
984675000.0,-90.03607201964601
989673333.333,-93.42162374496729
994671666.667,-86.40542776877375
999670000.0,-86.64735308784392
1004668333.33,-94.33578244864046
1009666666.67,-88.29204859822386
1014665000.0,-82.9822861563793
1019663333.33,-86.53655276225686
1024661666.67,-85.08016673373503
1029660000.0,-93.10673683128498
1034658333.33,-93.94679402108113
1039656666.67,-90.35462292687478
1044655000.0,-89.96589313639154
1049653333.33,-94.18979404166055
1054651666.67,-89.5526366018805
1059650000.0,-87.91252046983006
1064648333.33,-85.29982947529962
1069646666.67,-105.04319977454188
1074645000.0,-91.1946951834497
1079643333.33,-84.78577659758201
1084641666.67,-89.24621137964172
1089640000.0,-84.83931792748308
1094638333.33,-90.001296161261
1099636666.67,-81.65278540333804
1104635000.0,-78.9173940757099
1109633333.33,-98.682912165252
1114631666.67,-82.4737340354041
1119630000.0,-86.9693034094507
1124628333.33,-90.51704936073992
1129626666.67,-90.10571070955608
1134625000.0,-83.90224814594744
1139623333.33,-90.6904517694719
1144621666.67,-107.17907374766646
1149620000.0,-80.73569482318702
1154618333.33,-89.53988317919793
1159616666.67,-90.94362079840424
1164615000.0,-83.17756040630384
1169613333.33,-88.21386751491383
1174611666.67,-85.20193760850093
1179610000.0,-86.31537707950156
1184608333.33,-86.2576957634026
1189606666.67,-94.10602858079932
1194605000.0,-94.41524480750387
1199603333.33,-93.96467075309843
1204601666.67,-97.88088629563933
1209600000.0,-90.59213489507287
1214598333.33,-87.02686736763854
1219596666.67,-80.33327668464813
1224595000.0,-83.41022147869813
1229593333.33,-82.55308711411172
1234591666.67,-90.75669461930643
1239590000.0,-83.52795670315669
1244588333.33,-89.93992877751923
1249586666.67,-91.01679523761732
1254585000.0,-86.79639651824714
1259583333.33,-81.64416445636141
1264581666.67,-92.77403147490423
1269580000.0,-88.79429063392911
1274578333.33,-88.61646574431839
1279576666.67,-92.40268814688
1284575000.0,-90.83680577280576
1289573333.33,-85.95963334099761
1294571666.67,-88.27803724804097
1299570000.0,-82.68379634489702
1304568333.33,-89.7075737053402
1309566666.67,-93.33885078023896
1314565000.0,-84.6264660065259
1319563333.33,-87.4659455607547
1324561666.67,-88.37511338805425
1329560000.0,-83.98369430111526
1334558333.33,-88.17142085699189
1339556666.67,-112.30680835067358
1344555000.0,-84.50119310254564
1349553333.33,-99.6001449210317
1354551666.67,-85.87457741295191
1359550000.0,-93.09075017533267
1364548333.33,-88.9615899410684
1369546666.67,-86.25583493000603
1374545000.0,-91.65041367882795
1379543333.33,-80.04613646671484
1384541666.67,-88.79632054021634
1389540000.0,-84.89727241940223
1394538333.33,-90.93667340079165
1399536666.67,-80.5936906821917
1404535000.0,-81.82332264765873
1409533333.33,-80.46376798987622
1414531666.67,-86.3562570171586
1419530000.0,-86.859498726054
1424528333.33,-88.859770053835
1429526666.67,-85.01945820852083
1434525000.0,-85.14754190982393
1439523333.33,-84.04533512274713
1444521666.67,-90.53125147746726
1449520000.0,-87.47905873037396
1454518333.33,-89.74299097358079
1459516666.67,-82.46073660209365
1464515000.0,-84.54506542302498
1469513333.33,-81.5217045010319
1474511666.67,-89.59845091259501
1479510000.0,-83.96173221432181
1484508333.33,-82.81925308536131
1489506666.67,-85.03201475835327
1494505000.0,-91.09916233274038
1499503333.33,-91.4655989208395
1504501666.67,-82.99647810720768
1509500000.0,-103.48165328960462
1514498333.33,-92.67453273349275
1519496666.67,-94.42157924617099
1524495000.0,-88.64555943198057
1529493333.33,-82.90399673433706
1534491666.67,-83.29898332055663
1539490000.0,-84.84045212377498
1544488333.33,-82.3722945283243
1549486666.67,-99.76654573864215
1554485000.0,-91.74201092180402
1559483333.33,-90.12062084167268
1564481666.67,-88.96056724065468
1569480000.0,-93.69989687431884
1574478333.33,-86.78415647538907
1579476666.67,-89.61033572643765
1584475000.0,-86.67743473723897
1589473333.33,-80.4861734598158
1594471666.67,-93.12374434520103
1599470000.0,-85.0635503189551
1604468333.33,-84.0502690860442
1609466666.67,-89.63298042812144
1614465000.0,-81.13461399642551
1619463333.33,-101.89227678083674
1624461666.67,-82.66099502373709
1629460000.0,-90.0780443441493
1634458333.33,-83.16385913704184
1639456666.67,-85.80460061545577
1644455000.0,-87.59888264772857
1649453333.33,-80.57357841334735
1654451666.67,-90.21108071296183
1659450000.0,-83.65636349160084
1664448333.33,-88.79888859126422
1669446666.67,-83.18093921176727
1674445000.0,-93.31383292483922
1679443333.33,-81.69660356895214
1684441666.67,-92.52804096682418
1689440000.0,-101.03693245027473
1694438333.33,-82.51138844900076
1699436666.67,-83.46812716627241
1704435000.0,-83.14586711814138
1709433333.33,-90.33392281771363
1714431666.67,-86.47510077405047
1719430000.0,-85.68381277333518
1724428333.33,-84.25659763399668
1729426666.67,-104.57641075443226
1734425000.0,-85.90358700897248
1739423333.33,-79.71164131567262
