Frequency_Hz,Magnitude_dB
10000000.0,-62.966242918205154
14998333.3333,-63.50019020664554
19996666.6667,-63.56695016731359
24995000.0,-68.02433915283827
29993333.3333,-76.19829477530108
34991666.6667,-72.04571301889469
39990000.0,-73.1624300150644
44988333.3333,-80.67590112514921
49986666.6667,-69.55279687855244
54985000.0,-68.31010402778023
59983333.3333,-69.8633021834017
64981666.6667,-69.09946127593638
69980000.0,-69.77366728396512
74978333.3333,-71.6803591507597
79976666.6667,-86.96790209655548
84975000.0,-75.58781829532293
89973333.3333,-71.2036055668335
94971666.6667,-71.14505734658889
99970000.0,-83.25169102531416
104968333.333,-86.4387768071141
109966666.667,-75.42170879507721
114965000.0,-74.24471688868272
119963333.333,-81.76797367189326
124961666.667,-75.64256416639434
129960000.0,-79.01438248786748
134958333.333,-89.49768365931128
139956666.667,-81.84909618938235
144955000.0,-92.97161282786774
149953333.333,-86.82034260117578
154951666.667,-87.08792996689525
159950000.0,-72.69364215667157
164948333.333,-90.6982303239404
169946666.667,-81.44536380829268
174945000.0,-83.96722959644327
179943333.333,-81.87648802784287
184941666.667,-83.51576557715282
189940000.0,-79.82745292245944
194938333.333,-82.52761661873662
199936666.667,-83.35601516572581
204935000.0,-81.17764478363586
209933333.333,-76.58279012552845
214931666.667,-83.79306600249618
219930000.0,-84.65357740316917
224928333.333,-81.31690240623468
229926666.667,-83.10519146102793
234925000.0,-80.81011639572715
239923333.333,-80.97426658967808
244921666.667,-82.56679753566112
249920000.0,-85.3389822633763
254918333.333,-74.04718616081836
259916666.667,-93.13305249786663
264915000.0,-90.03480615865743
269913333.333,-80.41242629538297
274911666.667,-75.88096284551231
279910000.0,-73.8631966468291
284908333.333,-75.19259102763084
289906666.667,-76.36450902634196
294905000.0,-76.77134238378534
299903333.333,-79.7947679957545
304901666.667,-78.08756573618015
309900000.0,-77.7351065734348
314898333.333,-82.29166025900993
319896666.667,-77.70233802322898
324895000.0,-72.07268023912309
329893333.333,-89.67648324700953
334891666.667,-92.2249934906528
339890000.0,-78.34650941492453
344888333.333,-82.26447183558835
349886666.667,-76.60437183794505
354885000.0,-93.26781618395265
359883333.333,-83.14520399196753
364881666.667,-85.29175362680587
369880000.0,-79.32870945436149
374878333.333,-85.53647434240884
379876666.667,-79.61771288413439
384875000.0,-99.42943789610673
389873333.333,-79.01145398797223
394871666.667,-93.87646719221011
399870000.0,-85.96780017603987
404868333.333,-85.09006333402075
409866666.667,-79.71235836694142
414865000.0,-78.65349943741089
419863333.333,-89.99421729813571
424861666.667,-83.69599593468749
429860000.0,-82.22398717230782
434858333.333,-105.27866281520146
439856666.667,-80.05529386666367
444855000.0,-78.72569892948928
449853333.333,-90.1149889714521
454851666.667,-85.18436789998132
459850000.0,-79.89155996811205
464848333.333,-76.99701119153264
469846666.667,-73.61217985822111
474845000.0,-80.08881148280624
479843333.333,-80.99484740953748
484841666.667,-92.13286668453259
489840000.0,-90.34402019941687
494838333.333,-78.42483363929013
499836666.667,-84.84850532319604
504835000.0,-81.86664240053528
509833333.333,-92.68557350401952
514831666.667,-88.40769513215578
519830000.0,-77.42255761744609
524828333.333,-86.07664313078354
529826666.667,-89.2343544030574
534825000.0,-75.32262260029964
539823333.333,-76.49676245520665
544821666.667,-81.80213996490073
549820000.0,-94.0114421361312
554818333.333,-82.0990040845131
559816666.667,-80.1538798480465
564815000.0,-84.28863493330219
569813333.333,-83.44034544300422
574811666.667,-79.83730891153218
579810000.0,-82.3932770571752
584808333.333,-86.42735979501948
589806666.667,-91.58079281119629
594805000.0,-82.242753522875
599803333.333,-81.2338391088631
604801666.667,-75.50284213660487
609800000.0,-84.54856400173568
614798333.333,-90.9437875855163
619796666.667,-83.52971942315001
624795000.0,-82.8701133141049
629793333.333,-85.99327408704185
634791666.667,-84.04819790519306
639790000.0,-86.76594421456255
644788333.333,-78.40374610077829
649786666.667,-77.44515851959561
654785000.0,-91.00059431155967
659783333.333,-88.70844304473096
664781666.667,-82.08100900442338
669780000.0,-82.76110754877675
674778333.333,-98.70896898826334
679776666.667,-82.21960232401233
684775000.0,-88.4057463729599
689773333.333,-83.14655529117714
694771666.667,-89.82870662552162
699770000.0,-79.65069901326187
704768333.333,-105.6516887730642
709766666.667,-90.69505162326097
714765000.0,-91.55619745365071
719763333.333,-85.0736079425529
724761666.667,-86.76883395728365
729760000.0,-85.73607838034123
734758333.333,-83.31740485377593
