Voltage (V),Wavelength (nm),Insertion Loss (dB)
0.000,1545.00,-14.4219
0.000,1545.00,-14.4216
0.000,1545.00,-14.4230
0.000,1545.00,-14.4258
0.000,1545.00,-14.4309
0.000,1545.00,-14.4350
0.000,1545.00,-14.4332
0.000,1545.00,-14.4269
0.000,1545.00,-14.4218
0.000,1545.00,-14.4224
0.000,1545.00,-14.4237
0.000,1545.00,-14.4282
0.000,1545.00,-14.4337
0.000,1545.00,-14.4337
0.000,1545.00,-14.4301
0.000,1545.00,-14.4250
0.000,1545.00,-14.4219
0.000,1545.00,-14.4212
0.000,1545.00,-14.4228
0.000,1545.00,-14.4288
0.000,1545.00,-14.4349
0.000,1545.00,-14.4332
0.000,1545.00,-14.4282
0.000,1545.00,-14.4242
0.000,1545.00,-14.4223
0.000,1545.00,-14.4262
0.000,1545.00,-14.4327
0.000,1545.00,-14.4346
0.000,1545.00,-14.4320
0.000,1545.00,-14.4279
0.000,1545.00,-14.4241
0.000,1545.00,-14.4212
0.000,1545.00,-14.4216
0.000,1545.00,-14.4263
0.000,1545.00,-14.4303
0.000,1545.00,-14.4320
0.000,1545.00,-14.4318
0.000,1545.00,-14.4290
0.000,1545.00,-14.4225
0.000,1545.00,-14.4182
0.000,1545.00,-14.4192
0.000,1545.00,-14.4220
0.000,1545.00,-14.4266
0.000,1545.00,-14.4303
0.000,1545.00,-14.4334
0.000,1545.00,-14.4329
0.000,1545.00,-14.4254
0.000,1545.00,-14.4204
0.000,1545.00,-14.4251
0.000,1545.00,-14.4313
0.000,1545.01,-14.4312
0.000,1545.01,-14.4277
0.000,1545.01,-14.4256
0.000,1545.01,-14.4241
0.000,1545.01,-14.4229
0.000,1545.01,-14.4231
0.000,1545.01,-14.4275
0.000,1545.01,-14.4335
0.000,1545.01,-14.4365
0.000,1545.01,-14.4343
0.000,1545.01,-14.4313
0.000,1545.01,-14.4272
0.000,1545.01,-14.4241
0.000,1545.01,-14.4214
0.000,1545.01,-14.4235
0.000,1545.01,-14.4333
0.000,1545.01,-14.4378
0.000,1545.01,-14.4325
0.000,1545.01,-14.4243
0.000,1545.01,-14.4216
0.000,1545.01,-14.4246
0.000,1545.01,-14.4283
0.000,1545.01,-14.4318
0.000,1545.01,-14.4324
0.000,1545.01,-14.4292
0.000,1545.01,-14.4258
0.000,1545.01,-14.4242
0.000,1545.01,-14.4237
0.000,1545.01,-14.4241
0.000,1545.01,-14.4264
0.000,1545.01,-14.4317
0.000,1545.01,-14.4362
0.000,1545.01,-14.4349
