2026/1/10,15:53:26,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.00000000,-104.14749310,,,
1545.00010000,-104.14854535,,,
1545.00020000,-104.14998741,,,
1545.00030000,-104.14966522,,,
1545.00040000,-104.15100008,,,
1545.00050000,-104.15147681,,,
1545.00060000,-104.15244085,,,
1545.00070000,-104.15440350,,,
1545.00080000,-104.15562603,,,
1545.00090000,-104.15463718,,,
1545.00100000,-104.15360280,,,
1545.00110000,-104.15285551,,,
1545.00120000,-104.15288526,,,
1545.00130000,-104.15285107,,,
1545.00140000,-104.15413372,,,
1545.00150000,-104.15649271,,,
1545.00160000,-104.15437067,,,
1545.00170000,-104.15558986,,,
1545.00180000,-104.15511792,,,
1545.00190000,-104.15363797,,,
1545.00200000,-104.15124983,,,
1545.00210000,-104.15067791,,,
1545.00220000,-104.15138764,,,
1545.00230000,-104.15166388,,,
1545.00240000,-104.15268828,,,
1545.00250000,-104.15343163,,,
1545.00260000,-104.15251613,,,
1545.00270000,-104.15394354,,,
1545.00280000,-104.15211163,,,
1545.00290000,-104.15201940,,,
1545.00300000,-104.15098451,,,
1545.00310000,-104.15032255,,,
1545.00320000,-104.15112297,,,
1545.00330000,-104.15141165,,,
1545.00340000,-104.15415536,,,
1545.00350000,-104.15293478,,,
1545.00360000,-104.15324904,,,
1545.00370000,-104.15620500,,,
1545.00380000,-104.15793872,,,
1545.00390000,-104.15692785,,,
1545.00400000,-104.15495432,,,
1545.00410000,-104.15315831,,,
1545.00420000,-104.15456275,,,
1545.00430000,-104.15548268,,,
1545.00440000,-104.15569211,,,
1545.00450000,-104.15554317,,,
1545.00460000,-104.15201616,,,
1545.00470000,-104.15145710,,,
1545.00480000,-104.15366182,,,
1545.00490000,-104.15421975,,,
1545.00500000,-104.15261220,,,
1545.00510000,-104.15247598,,,
1545.00520000,-104.15337449,,,
1545.00530000,-104.15290944,,,
1545.00540000,-104.15296967,,,
1545.00550000,-104.15292113,,,
1545.00560000,-104.15314319,,,
1545.00570000,-104.15340091,,,
1545.00580000,-104.15383453,,,
1545.00590000,-104.15390802,,,
1545.00600000,-104.15532637,,,
1545.00610000,-104.15619386,,,
1545.00620000,-104.15636941,,,
