2026/1/10,15:44:05,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,-10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.00000000,-36.64835770,,,
1545.00010000,-36.64884024,,,
1545.00020000,-36.65376296,,,
1545.00030000,-36.66159312,,,
1545.00040000,-36.67040535,,,
1545.00050000,-36.67951874,,,
1545.00060000,-36.68412869,,,
1545.00070000,-36.68013853,,,
1545.00080000,-36.67179591,,,
1545.00090000,-36.66214570,,,
1545.00100000,-36.66371361,,,
1545.00110000,-36.67199346,,,
1545.00120000,-36.67854248,,,
1545.00130000,-36.68542686,,,
1545.00140000,-36.68042318,,,
1545.00150000,-36.67427075,,,
1545.00160000,-36.66427777,,,
1545.00170000,-36.65914697,,,
1545.00180000,-36.66410830,,,
1545.00190000,-36.67101117,,,
1545.00200000,-36.67428423,,,
1545.00210000,-36.67499521,,,
1545.00220000,-36.66898299,,,
1545.00230000,-36.65277511,,,
1545.00240000,-36.64398048,,,
1545.00250000,-36.64505258,,,
1545.00260000,-36.65319060,,,
1545.00270000,-36.66235583,,,
1545.00280000,-36.66447763,,,
1545.00290000,-36.66209806,,,
1545.00300000,-36.65483917,,,
1545.00310000,-36.65187801,,,
1545.00320000,-36.64991757,,,
1545.00330000,-36.66182374,,,
1545.00340000,-36.67556596,,,
1545.00350000,-36.67977138,,,
1545.00360000,-36.67833005,,,
1545.00370000,-36.67228299,,,
1545.00380000,-36.66623749,,,
1545.00390000,-36.65893593,,,
1545.00400000,-36.65747494,,,
1545.00410000,-36.66374455,,,
1545.00420000,-36.67699026,,,
1545.00430000,-36.68491694,,,
1545.00440000,-36.68002784,,,
1545.00450000,-36.67447279,,,
1545.00460000,-36.65921428,,,
1545.00470000,-36.65789459,,,
1545.00480000,-36.67379391,,,
1545.00490000,-36.68152585,,,
1545.00500000,-36.67424199,,,
1545.00510000,-36.66533829,,,
1545.00520000,-36.65793676,,,
1545.00530000,-36.64965592,,,
1545.00540000,-36.64788310,,,
1545.00550000,-36.65071231,,,
1545.00560000,-36.65476509,,,
1545.00570000,-36.66181085,,,
1545.00580000,-36.66753791,,,
1545.00590000,-36.66366709,,,
1545.00600000,-36.65875679,,,
1545.00610000,-36.65075376,,,
1545.00620000,-36.64046866,,,
