Frequency_Hz,Magnitude_dB
10000000.0,-56.82488163174291
14998333.3333,-69.96745755566106
19996666.6667,-65.95851620769976
24995000.0,-74.63482000112063
29993333.3333,-68.67203929676728
34991666.6667,-68.70688343319378
39990000.0,-74.19145618622215
44988333.3333,-71.15984520433149
49986666.6667,-70.53143248405162
54985000.0,-85.26314398969515
59983333.3333,-70.2356988695727
64981666.6667,-86.70842870374369
69980000.0,-76.24827617857713
74978333.3333,-80.96646589293286
79976666.6667,-74.73426680715342
84975000.0,-75.75320071158569
89973333.3333,-72.38509852613137
94971666.6667,-72.5704791099545
99970000.0,-107.869935564593
104968333.333,-73.57099865719157
109966666.667,-74.10175570524832
114965000.0,-74.67985209951955
119963333.333,-76.8065473675098
124961666.667,-74.12469062479735
129960000.0,-83.82135362467976
134958333.333,-84.07154934837577
139956666.667,-80.63362059238736
144955000.0,-85.61639921459575
149953333.333,-84.5650670571002
154951666.667,-78.76661522758604
159950000.0,-89.13334897737599
164948333.333,-75.75631618863393
169946666.667,-79.62294911527454
174945000.0,-79.50734081686241
179943333.333,-81.57242159075747
184941666.667,-81.88259348638064
189940000.0,-74.51531123993361
194938333.333,-76.4913156210376
199936666.667,-88.3100453769005
204935000.0,-79.57428060179974
209933333.333,-78.77515924430286
214931666.667,-75.63316463906898
219930000.0,-81.61579886358395
224928333.333,-80.67922000957887
229926666.667,-83.179390833818
234925000.0,-95.07500058340477
239923333.333,-84.23726612158234
244921666.667,-77.21327166671247
249920000.0,-79.86607614757747
254918333.333,-90.08837139088331
259916666.667,-72.74600936768165
264915000.0,-89.55912022417132
269913333.333,-78.6342814260604
274911666.667,-81.24876568635024
279910000.0,-92.61336728918245
284908333.333,-78.32252499161984
289906666.667,-85.19448361283752
294905000.0,-84.24590934184468
299903333.333,-78.81564935632898
304901666.667,-85.273258094086
309900000.0,-78.78734221452963
314898333.333,-83.12602281930994
319896666.667,-77.65798939187059
324895000.0,-89.41377725835395
329893333.333,-77.2151249697954
334891666.667,-78.47509195008645
339890000.0,-80.09853394220863
344888333.333,-83.02805009918187
349886666.667,-84.92411382858258
354885000.0,-81.58754596945478
359883333.333,-78.16223253554713
364881666.667,-76.00684839385521
369880000.0,-83.52782359193988
374878333.333,-95.79788717934237
379876666.667,-79.32836735860762
384875000.0,-87.01473099867837
389873333.333,-85.41920516477072
394871666.667,-80.70486676141799
399870000.0,-78.5194489184324
404868333.333,-76.35775581868148
409866666.667,-75.89560165392282
414865000.0,-96.169755293608
419863333.333,-84.31257399061025
424861666.667,-83.69749255134215
429860000.0,-77.13828499384978
434858333.333,-76.55857459798503
439856666.667,-86.20155362742041
444855000.0,-87.4315910136702
449853333.333,-85.22151290314409
454851666.667,-91.18596602015641
459850000.0,-77.5927423629457
464848333.333,-94.02062172257551
469846666.667,-91.40841529630379
474845000.0,-76.92491813502704
479843333.333,-84.90931039638895
484841666.667,-77.28002913579249
489840000.0,-91.34761413912986
494838333.333,-89.52430534365587
499836666.667,-90.36122703356205
504835000.0,-82.17963391383044
509833333.333,-98.8940386389671
514831666.667,-83.38164289803709
519830000.0,-90.51701033128568
524828333.333,-86.6091260213434
529826666.667,-82.96972259629982
534825000.0,-80.86775668745179
539823333.333,-80.78932335908506
544821666.667,-82.6646329400409
549820000.0,-82.12835682315948
554818333.333,-84.5485228562164
559816666.667,-82.29825457078084
564815000.0,-82.01618696353651
569813333.333,-84.45801171980376
574811666.667,-96.52553556685524
579810000.0,-91.13506738312518
584808333.333,-77.90846164984981
589806666.667,-82.67413404322767
594805000.0,-95.38870432474152
599803333.333,-86.64308431809013
604801666.667,-94.11322648988913
609800000.0,-79.80790540055222
614798333.333,-86.96479973010798
619796666.667,-94.9954084389885
624795000.0,-82.95334806354782
629793333.333,-86.30347421211597
634791666.667,-107.6226139587658
639790000.0,-81.26669964978905
644788333.333,-88.02368129765993
649786666.667,-85.74005306696853
654785000.0,-86.93421936460712
659783333.333,-88.02190449580665
664781666.667,-86.15672398288609
669780000.0,-81.4936288560497
674778333.333,-86.19092074711146
679776666.667,-90.20761241389216
684775000.0,-123.95464246367233
689773333.333,-85.97384482531194
694771666.667,-82.58599895624695
699770000.0,-99.5742744915772
704768333.333,-82.0856232130121
709766666.667,-83.17830672842922
714765000.0,-88.66667006942785
719763333.333,-80.10190173180598
724761666.667,-84.53583668735418
729760000.0,-85.1732758738315
734758333.333,-95.32931244107058
739756666.667,-81.82155584309109
744755000.0,-82.55490563143195
749753333.333,-83.06683850054588
754751666.667,-82.61999986293957
759750000.0,-89.90384763524307
764748333.333,-102.41690787313865
769746666.667,-90.73948752882924
774745000.0,-81.00547711498427
779743333.333,-84.34536924208606
784741666.667,-86.44561738066321
789740000.0,-90.08399148029761
794738333.333,-83.69804626621978
799736666.667,-84.80258823652802
804735000.0,-86.38091505724728
809733333.333,-85.84830960175486
814731666.667,-88.76777136866207
819730000.0,-97.89474823865416
824728333.333,-82.02889734622728
829726666.667,-88.89313028144274
834725000.0,-83.34332832224582
839723333.333,-94.52289815289923
844721666.667,-83.84153257710162
