Frequency_Hz,Magnitude_dB
10000000.0,-59.077097562840024
14998333.3333,-57.51052577577003
19996666.6667,-52.63420178129977
24995000.0,-55.702637668912544
29993333.3333,-56.74498283132532
34991666.6667,-57.72492489004537
39990000.0,-55.72741098755884
44988333.3333,-56.49133617168921
49986666.6667,-56.05749675274498
54985000.0,-57.411214194817255
59983333.3333,-58.49195394969755
64981666.6667,-59.915782590760315
69980000.0,-57.299922431049225
74978333.3333,-57.08564038987153
79976666.6667,-59.64312504590964
84975000.0,-55.881626002354565
89973333.3333,-56.41650207385858
94971666.6667,-55.04540210026025
99970000.0,-56.81457683425528
104968333.333,-56.32137910980913
109966666.667,-56.64583975100782
114965000.0,-55.52762215703413
119963333.333,-54.99365043059957
124961666.667,-56.00963779210296
129960000.0,-56.87123950639987
134958333.333,-56.492061327586484
139956666.667,-56.42307484939691
144955000.0,-57.98088138610976
149953333.333,-56.37282597030928
154951666.667,-57.39976697832117
159950000.0,-56.9567373504954
164948333.333,-56.510473428339026
169946666.667,-56.909989551347024
174945000.0,-57.022875979734266
179943333.333,-56.38140794565952
184941666.667,-57.07277378895125
189940000.0,-56.642015889863885
194938333.333,-56.673999704519574
199936666.667,-56.86004826465783
204935000.0,-56.87708717303429
209933333.333,-57.300241561496456
214931666.667,-56.721357595661544
219930000.0,-57.05834274690975
224928333.333,-57.20081140205104
229926666.667,-57.8656483578525
234925000.0,-57.09676388316324
239923333.333,-57.07079348683355
244921666.667,-57.50496501762485
249920000.0,-57.45625519984358
254918333.333,-56.13208138789739
259916666.667,-58.23878416812474
264915000.0,-56.69938219316248
269913333.333,-57.17202227148497
274911666.667,-58.596543678324345
279910000.0,-57.729084347250385
284908333.333,-56.844567603057214
289906666.667,-57.48990281565896
294905000.0,-56.88985653390802
299903333.333,-56.510985561868665
304901666.667,-56.928732205345014
309900000.0,-57.81361049923607
314898333.333,-57.3054791981686
319896666.667,-58.335058248143596
324895000.0,-57.1841134326782
329893333.333,-56.59679207995034
334891666.667,-57.28857749291648
339890000.0,-57.07708116825223
344888333.333,-57.585285579109076
349886666.667,-57.53774907199839
354885000.0,-57.53124609819608
359883333.333,-57.08724787155163
364881666.667,-56.69082048785306
369880000.0,-57.02717794481832
374878333.333,-57.64756356943859
379876666.667,-56.240107893644876
384875000.0,-56.85929561738996
389873333.333,-56.84578625483542
394871666.667,-56.30885360544254
399870000.0,-56.14182009529971
404868333.333,-56.77629568816862
409866666.667,-56.58023211317564
414865000.0,-56.59390767950238
419863333.333,-56.399777874498696
424861666.667,-56.45553923179291
429860000.0,-57.29985446442058
434858333.333,-56.05107061528497
439856666.667,-57.008329833105776
444855000.0,-56.37548836118657
449853333.333,-56.9376294080089
454851666.667,-56.912204911342585
459850000.0,-57.0121121695248
464848333.333,-56.67524491252601
469846666.667,-56.449705951403914
474845000.0,-56.782868654631294
479843333.333,-56.18487338849177
484841666.667,-56.47869900091401
489840000.0,-55.99331371104343
494838333.333,-55.946310668929726
499836666.667,-56.96190154782421
504835000.0,-56.60971131990384
509833333.333,-55.77325571753743
514831666.667,-56.0871976986533
519830000.0,-56.18410342324259
524828333.333,-56.36269992700857
529826666.667,-55.550354296613904
534825000.0,-56.492740559903936
539823333.333,-56.3159957155056
544821666.667,-55.65142727365033
549820000.0,-55.862773740977644
554818333.333,-55.82252795574475
559816666.667,-56.097037497616995
564815000.0,-55.863153385901526
569813333.333,-55.81182093589354
574811666.667,-55.89449356800827
579810000.0,-56.36345100463864
584808333.333,-55.267875058687565
589806666.667,-55.88831611099568
594805000.0,-56.79890920439903
599803333.333,-56.11787481905932
604801666.667,-55.86157250942138
609800000.0,-55.54796166545269
614798333.333,-55.56992763265028
619796666.667,-55.37181728997182
624795000.0,-55.6314498802758
