Frequency_Hz,Magnitude_dB
10000000.0,-59.781696567170314
14998333.3333,-59.75610644808868
19996666.6667,-55.82076236158013
24995000.0,-59.076496029059136
29993333.3333,-58.340821106720426
34991666.6667,-57.22778489660829
39990000.0,-60.707948612442244
44988333.3333,-56.823329832781326
49986666.6667,-57.67848311311609
54985000.0,-56.81058979201004
59983333.3333,-58.59656648958354
64981666.6667,-56.7543394857304
69980000.0,-58.80010673937303
74978333.3333,-56.678433369394426
79976666.6667,-57.17108013656889
84975000.0,-60.103914973039004
89973333.3333,-59.06324856256479
94971666.6667,-58.51360957971659
99970000.0,-61.508051801178496
104968333.333,-58.35107430847057
109966666.667,-59.75693290120954
114965000.0,-59.10551271526528
119963333.333,-58.602528641142186
124961666.667,-58.37030924866016
129960000.0,-58.05305605334294
134958333.333,-58.59462149098495
139956666.667,-57.90273523567983
144955000.0,-60.40034911545126
149953333.333,-58.79244392974587
154951666.667,-58.55462782405321
159950000.0,-58.801816442709985
164948333.333,-58.656694940057015
169946666.667,-58.75216286340162
174945000.0,-59.20894102308136
179943333.333,-59.64996715204801
184941666.667,-59.87539404245088
189940000.0,-58.445669407652346
194938333.333,-58.31928888633598
199936666.667,-59.08391594099835
204935000.0,-58.715650087779025
209933333.333,-58.58288945395334
214931666.667,-58.70731788489369
219930000.0,-59.04003611339871
224928333.333,-58.61811346419496
229926666.667,-58.866646265990624
234925000.0,-59.373926991955024
239923333.333,-59.34462741283638
244921666.667,-58.84977523493704
249920000.0,-59.98329950071351
254918333.333,-60.176887181912775
259916666.667,-61.60003155603526
264915000.0,-58.56227605591605
269913333.333,-59.34398914989472
274911666.667,-59.538971551739984
279910000.0,-59.24694072456675
284908333.333,-61.78177918004951
289906666.667,-59.200174777151105
294905000.0,-60.799518773688526
299903333.333,-59.886588522174605
304901666.667,-59.98643375360045
309900000.0,-58.49497831796144
314898333.333,-59.37946216278705
319896666.667,-58.5447477674706
324895000.0,-58.412071950903474
329893333.333,-58.9610261340166
334891666.667,-59.0335461408722
339890000.0,-58.03105109448219
344888333.333,-58.63355559576418
349886666.667,-58.67773033963705
354885000.0,-59.74541763838423
359883333.333,-58.61467211220494
364881666.667,-58.8462961162518
369880000.0,-59.313277162711884
374878333.333,-58.299796011223904
379876666.667,-58.61682260136582
384875000.0,-59.9031977635819
389873333.333,-59.31038161478469
394871666.667,-58.799947172577575
399870000.0,-59.2518663312874
404868333.333,-58.86217678596795
409866666.667,-58.41136377300462
414865000.0,-58.6232151904487
419863333.333,-59.13713915521242
424861666.667,-58.510412140525176
429860000.0,-58.43694348337654
434858333.333,-58.563570850279675
439856666.667,-59.50266478156348
444855000.0,-58.628913795494746
449853333.333,-58.94694922541455
454851666.667,-59.16337634550927
459850000.0,-59.76014802927103
464848333.333,-59.850104204434075
469846666.667,-59.13469747978364
474845000.0,-59.3025343517343
479843333.333,-59.600769896599516
484841666.667,-58.338699094824975
489840000.0,-58.89986415276711
494838333.333,-58.27723814167633
499836666.667,-58.79246787695527
504835000.0,-58.61115236271129
509833333.333,-58.01230417834847
514831666.667,-58.89405935062879
519830000.0,-59.232936424246525
524828333.333,-58.147071770713396
529826666.667,-58.26093582769243
534825000.0,-58.739221728775334
539823333.333,-58.30781852372834
544821666.667,-59.505756136128376
549820000.0,-58.85380213732592
554818333.333,-58.003910737065155
559816666.667,-58.677218749266764
564815000.0,-58.828414846254226
569813333.333,-58.71347085894918
574811666.667,-58.4189730672604
579810000.0,-59.008663746012644
584808333.333,-58.97275075742198
589806666.667,-58.30208965649778
594805000.0,-59.18403990871486
599803333.333,-58.10788529075908
604801666.667,-58.95662539717122
609800000.0,-58.442334404667626
614798333.333,-58.415950682974476
619796666.667,-58.325611349519605
624795000.0,-57.674568650453764
629793333.333,-57.41847731523229
634791666.667,-57.917910601885225
639790000.0,-57.87406249828658
644788333.333,-57.695809473502095
649786666.667,-57.93290487044261
654785000.0,-58.21417305629798
659783333.333,-58.08810241372668
664781666.667,-57.92383020711047
669780000.0,-58.69157068311587
674778333.333,-57.88282822691056
679776666.667,-58.902077397573706
684775000.0,-57.975332651503535
689773333.333,-58.22471144662221
694771666.667,-57.942951192248835
699770000.0,-57.680665358164546
704768333.333,-57.34039050238582
709766666.667,-57.50386130465722
714765000.0,-57.55284326630077
719763333.333,-58.55416472225567
724761666.667,-57.37525518827341
729760000.0,-57.39672958809645
734758333.333,-57.51851825253513
739756666.667,-57.462294337011244
744755000.0,-57.5874113908079
749753333.333,-57.572625708535845
754751666.667,-57.674787667794156
759750000.0,-57.71731576893343
764748333.333,-58.16759797092417
769746666.667,-57.9075007207459
774745000.0,-57.99208311318918
779743333.333,-57.427339824646126
784741666.667,-57.521534544110516
789740000.0,-57.737646499039855
794738333.333,-57.650124166023986
799736666.667,-57.857099185513825
804735000.0,-57.828483069989296
809733333.333,-57.403744663073724
814731666.667,-57.87768096306265
819730000.0,-57.53729854013529
824728333.333,-57.675032997371
829726666.667,-57.34169218853697
834725000.0,-57.13256586007108
839723333.333,-56.78526084611754
844721666.667,-57.718205527834044
849720000.0,-57.03692927452699
854718333.333,-57.02067700511117
859716666.667,-57.524268514168625
864715000.0,-58.017752943991056
869713333.333,-57.20497297052809
874711666.667,-57.3423650359414
879710000.0,-57.12016390449484
884708333.333,-57.654378270395014
889706666.667,-57.22866455476586
894705000.0,-57.60372559542859
899703333.333,-57.48106009761433
904701666.667,-57.239081991546435
909700000.0,-57.30937441804506
914698333.333,-57.417113654993585
919696666.667,-57.37743707281216
924695000.0,-57.22756343654048
929693333.333,-56.990533855691
934691666.667,-57.26932197486883
939690000.0,-56.75059378373349
944688333.333,-56.45120620873334
949686666.667,-57.14614475358949
954685000.0,-56.99727381229916
959683333.333,-56.8695396000727
964681666.667,-57.03076804888426
969680000.0,-56.86148300353995
974678333.333,-57.20329532943387
979676666.667,-56.63205140911923
984675000.0,-56.63862220224704
989673333.333,-56.68223978168364
994671666.667,-56.543382955302384
999670000.0,-56.83534284947615
1004668333.33,-57.28955309045719
1009666666.67,-57.091134281245736
1014665000.0,-57.235502810988244
1019663333.33,-57.147172282041566
1024661666.67,-56.991039449342004
1029660000.0,-57.196904480739946
1034658333.33,-56.91759426882773
1039656666.67,-57.1660691732736
1044655000.0,-56.93624093915696
1049653333.33,-56.595454068225294
1054651666.67,-57.11336910147389
1059650000.0,-56.93236284037062
1064648333.33,-56.68932252557472
1069646666.67,-56.48260914557295
1074645000.0,-57.0057914512875
1079643333.33,-57.444213264347866
1084641666.67,-56.653248865166866
1089640000.0,-56.978427281717785
1094638333.33,-56.699039156386846
1099636666.67,-56.93950008410496
1104635000.0,-57.58394530922047
1109633333.33,-57.124593953291054
1114631666.67,-57.07512956359865
1119630000.0,-56.95018087727242
1124628333.33,-57.07207717439323
1129626666.67,-56.845118256507014
1134625000.0,-56.77233512145472
1139623333.33,-57.15833900068411
1144621666.67,-56.7559713517071
1149620000.0,-56.82453728068364
1154618333.33,-56.77497760647179
1159616666.67,-56.75075797496181
1164615000.0,-56.67629961043218
1169613333.33,-56.50911530881777
1174611666.67,-56.72394586261084
1179610000.0,-56.20811717826689
1184608333.33,-56.226912221651695
1189606666.67,-56.31716786830453
1194605000.0,-56.36066591563651
1199603333.33,-56.64608061293377
1204601666.67,-56.55627715394948
1209600000.0,-56.60886062436071
1214598333.33,-56.61630998783871
1219596666.67,-57.02139204316728
1224595000.0,-56.42330369719015
1229593333.33,-56.62064821666233
1234591666.67,-56.116798033056625
1239590000.0,-56.14703792888293
1244588333.33,-56.20222299193956
1249586666.67,-56.04331864222974
1254585000.0,-55.93287855032088
1259583333.33,-55.811007507601914
1264581666.67,-55.81724734161379
1269580000.0,-55.66543370465398
1274578333.33,-55.509442013356164
1279576666.67,-56.00309969159191
1284575000.0,-55.66667933375837
1289573333.33,-55.8827161213201
1294571666.67,-55.90595009071229
1299570000.0,-55.952596305703196
1304568333.33,-55.45733963203517
1309566666.67,-55.374418138480756
1314565000.0,-55.95559634037954
1319563333.33,-55.93795998801354
1324561666.67,-56.05996699539468
1329560000.0,-55.981676874889324
1334558333.33,-56.052448510861794
1339556666.67,-55.85512443369627
1344555000.0,-55.75432491415684
1349553333.33,-55.931483359798534
1354551666.67,-55.832484067204874
1359550000.0,-55.858898717570476
1364548333.33,-55.80661051706535
1369546666.67,-55.709425846879256
1374545000.0,-55.94389471211797
1379543333.33,-55.435371009436174
1384541666.67,-55.87122666350564
1389540000.0,-55.75886281210012
1394538333.33,-56.05750092824678
1399536666.67,-55.63149824125894
1404535000.0,-56.24663644230483
1409533333.33,-55.64661705972294
1414531666.67,-56.0559547921106
1419530000.0,-55.72861495374492
1424528333.33,-55.907603966145885
1429526666.67,-56.07639597544821
1434525000.0,-56.031605643828385
1439523333.33,-55.857876423319006
1444521666.67,-56.051659103571154
1449520000.0,-56.09153213199057
1454518333.33,-55.46317593071926
1459516666.67,-55.44320902548932
1464515000.0,-55.27286559492595
1469513333.33,-55.21580242511125
1474511666.67,-55.29695658148245
1479510000.0,-55.11657978774433
1484508333.33,-55.46768004246103
1489506666.67,-54.94326135796349
1494505000.0,-55.140229805574094
1499503333.33,-55.06317777653685
1504501666.67,-54.96855642037679
1509500000.0,-55.52015994430907
1514498333.33,-55.038341493151826
1519496666.67,-55.19802774851655
1524495000.0,-55.037708838861064
1529493333.33,-55.286484084588345
1534491666.67,-55.126601584391395
1539490000.0,-55.159571755725196
1544488333.33,-54.84262872961463
1549486666.67,-54.91061937385489
1554485000.0,-55.268591891005414
1559483333.33,-55.115714889803
1564481666.67,-55.15248976238386
1569480000.0,-55.01248955027129
1574478333.33,-54.91487491477809
1579476666.67,-55.21213617744905
1584475000.0,-54.85336059878077
1589473333.33,-54.928983470412646
1594471666.67,-54.70454538643135
1599470000.0,-54.77955134987248
1604468333.33,-55.00462643503848
1609466666.67,-54.828398379840834
1614465000.0,-54.96966608545356
1619463333.33,-55.10140806828239
1624461666.67,-54.799371351008645
1629460000.0,-55.23637607370594
1634458333.33,-54.77696042150406
1639456666.67,-54.84622410416847
1644455000.0,-54.93681260536878
1649453333.33,-54.69634302194149
1654451666.67,-55.173897989415735
1659450000.0,-54.90405176989321
1664448333.33,-55.0029294477321
1669446666.67,-54.457435570061996
1674445000.0,-54.80993556205827
1679443333.33,-54.86256415994711
1684441666.67,-55.079914679925295
1689440000.0,-54.51196650290289
1694438333.33,-54.53570324258457
1699436666.67,-54.44835990197837
1704435000.0,-54.785460594905224
1709433333.33,-54.781258308154406
1714431666.67,-55.08185322832317
1719430000.0,-54.760161903764114
1724428333.33,-55.1073566020992
1729426666.67,-54.873953292802405
1734425000.0,-55.08034514624293
1739423333.33,-54.887600777783035
1744421666.67,-54.72832977734775
1749420000.0,-55.14309478467038
1754418333.33,-54.638442418272035
1759416666.67,-54.57774418583575
1764415000.0,-54.52092467743646
1769413333.33,-54.582136147866365
1774411666.67,-54.26614456512135
1779410000.0,-54.37074010651215
1784408333.33,-54.38158174683744
1789406666.67,-54.58320287257364
1794405000.0,-54.47486208496873
1799403333.33,-54.51184331229157
1804401666.67,-54.72163802294715
1809400000.0,-54.65056673891917
1814398333.33,-54.32398304175024
1819396666.67,-54.32835289147511
1824395000.0,-54.47385518997394
1829393333.33,-54.26822254205685
1834391666.67,-53.992910900318634
1839390000.0,-54.701782899946856
1844388333.33,-54.553894484591325
1849386666.67,-54.35951804343971
1854385000.0,-54.302426285598564
1859383333.33,-54.49523548795178
1864381666.67,-54.33083915831763
1869380000.0,-54.31022420742066
1874378333.33,-53.9602766492888
1879376666.67,-53.92656988879378
1884375000.0,-54.09315379113875
1889373333.33,-54.02061636772675
1894371666.67,-54.11208783506655
1899370000.0,-53.967069586444865
1904368333.33,-54.22046664216599
1909366666.67,-54.406982855018775
1914365000.0,-54.29849011323155
1919363333.33,-54.229396557966574
1924361666.67,-54.06189905064
1929360000.0,-54.403419916832654
1934358333.33,-54.221462657682466
1939356666.67,-54.24801001735347
1944355000.0,-54.02478555360844
1949353333.33,-53.93350859677818
1954351666.67,-54.11889353991427
1959350000.0,-54.08234146119425
1964348333.33,-54.08728471221929
1969346666.67,-54.14873659175853
1974345000.0,-53.89760051883492
1979343333.33,-54.06068618582233
1984341666.67,-53.86065285189688
1989340000.0,-53.92505059309899
1994338333.33,-53.64459864541051
1999336666.67,-53.77860996368228
2004335000.0,-53.62277900974356
2009333333.33,-53.925178007315395
2014331666.67,-53.3623687403159
2019330000.0,-53.72280415604429
2024328333.33,-54.09405814040905
2029326666.67,-53.78909046733719
2034325000.0,-53.715254885632866
2039323333.33,-53.81584743156879
2044321666.67,-53.981580242846725
2049320000.0,-54.18412232543795
2054318333.33,-53.65965906325676
2059316666.67,-53.642105735324115
2064315000.0,-53.906216178943176
2069313333.33,-54.12994581924202
2074311666.67,-53.90156217219551
2079310000.0,-53.819348834617855
2084308333.33,-53.48883071472767
2089306666.67,-53.6568573289409
2094305000.0,-53.4016622050487
2099303333.33,-53.507333659752476
2104301666.67,-53.4181992281199
2109300000.0,-53.55212584042215
2114298333.33,-53.30305392656528
2119296666.67,-53.329391011885825
2124295000.0,-53.39779837332516
2129293333.33,-53.327751006266496
2134291666.67,-53.212465457737835
2139290000.0,-53.24486969269134
2144288333.33,-53.55409437928077
2149286666.67,-53.25069546028711
2154285000.0,-53.44133303737382
2159283333.33,-53.38190012437961
2164281666.67,-53.81144536270696
2169280000.0,-53.24501955850917
2174278333.33,-53.57360916975641
2179276666.67,-53.367843072716695
2184275000.0,-53.14998758481174
2189273333.33,-53.2667969419406
2194271666.67,-52.91129304610465
2199270000.0,-52.93415867323303
2204268333.33,-53.00191804555532
2209266666.67,-53.23859941502644
2214265000.0,-52.81140960384458
2219263333.33,-52.92262954903241
2224261666.67,-52.788614832040736
2229260000.0,-52.717340819281745
2234258333.33,-52.97420614499998
2239256666.67,-52.64072290487605
2244255000.0,-53.05364959230846
2249253333.33,-52.92671448502069
2254251666.67,-52.99773654066266
2259250000.0,-52.700681607238394
2264248333.33,-53.05681934698326
2269246666.67,-52.90331190351945
2274245000.0,-52.831437907510484
2279243333.33,-52.968335766142204
2284241666.67,-52.920803604600344
2289240000.0,-52.94019505429351
2294238333.33,-53.014940563340936
2299236666.67,-52.79605883807682
2304235000.0,-52.92811649832433
2309233333.33,-52.7876998967944
2314231666.67,-52.506342786090734
2319230000.0,-52.59781716680902
2324228333.33,-52.90198966346476
2329226666.67,-52.72341940347468
2334225000.0,-52.76003618818213
2339223333.33,-52.77307110921995
2344221666.67,-52.69833362634127
2349220000.0,-52.57390564734927
2354218333.33,-52.761656912296786
2359216666.67,-52.759559668642424
2364215000.0,-52.74574046285487
2369213333.33,-52.436246132413935
2374211666.67,-52.701383246452814
2379210000.0,-52.764961265042025
2384208333.33,-52.660965391455036
2389206666.67,-52.907850766294544
2394205000.0,-52.610942488127364
2399203333.33,-52.7159751401306
2404201666.67,-52.610616092109
2409200000.0,-52.28847163284355
2414198333.33,-52.50113607183796
2419196666.67,-52.08969487280864
2424195000.0,-52.169510032746594
2429193333.33,-52.1062148099631
2434191666.67,-51.9054782441951
2439190000.0,-51.68644177119649
2444188333.33,-51.96254014805674
2449186666.67,-51.54180563528098
2454185000.0,-52.20740310772789
2459183333.33,-51.85837745347885
2464181666.67,-51.85596032110694
2469180000.0,-51.95877458079106
2474178333.33,-51.93909567957238
2479176666.67,-51.87849828520893
2484175000.0,-51.68736004815243
2489173333.33,-51.97226544637778
2494171666.67,-51.755829779601406
2499170000.0,-51.77937782517124
2504168333.33,-51.85461661827132
2509166666.67,-51.405720811217314
2514165000.0,-51.590243447158144
2519163333.33,-51.71265335207076
2524161666.67,-51.675947205513594
2529160000.0,-51.61419085109714
2534158333.33,-51.432521202027466
2539156666.67,-51.42165541218219
2544155000.0,-51.431424474712514
2549153333.33,-51.45105300521653
2554151666.67,-51.4171472548426
2559150000.0,-51.42731837648391
2564148333.33,-51.378369815510716
2569146666.67,-51.47241152858732
2574145000.0,-51.71500873729575
2579143333.33,-51.49221391574355
2584141666.67,-51.77326944391623
2589140000.0,-51.904009067967394
2594138333.33,-51.73417356191973
2599136666.67,-51.58671434617128
2604135000.0,-51.71987833434875
2609133333.33,-51.22095061722547
2614131666.67,-51.49999005419281
2619130000.0,-51.646528327187255
2624128333.33,-51.50113760853146
2629126666.67,-51.15540385031238
2634125000.0,-51.36444900204431
2639123333.33,-51.061323846316995
2644121666.67,-51.251777188751305
2649120000.0,-51.22157383186916
2654118333.33,-51.27691505703197
2659116666.67,-51.0799893934074
