Frequency_Hz,Magnitude_dB
10000000.0,-57.15993158801106
14998333.3333,-69.6403927013501
19996666.6667,-67.34679418668864
24995000.0,-73.28859202283722
29993333.3333,-65.39380178349884
34991666.6667,-68.2637308238733
39990000.0,-78.17454379948859
44988333.3333,-73.3235275200891
49986666.6667,-69.63957136034972
54985000.0,-72.57663201001188
59983333.3333,-66.24472644114933
64981666.6667,-70.07351707899747
69980000.0,-66.45449716478672
74978333.3333,-69.24220585611505
79976666.6667,-67.75390284825268
84975000.0,-71.5395931762307
89973333.3333,-72.71888944782889
94971666.6667,-72.32685615765288
99970000.0,-73.57178004715594
104968333.333,-74.20717647882587
109966666.667,-68.90462399561261
114965000.0,-72.13120148012473
119963333.333,-71.55170124743225
124961666.667,-74.31521632074029
129960000.0,-70.88889324206109
134958333.333,-70.94939778058593
139956666.667,-69.7136136274663
144955000.0,-71.0455735193799
149953333.333,-70.43609524012665
154951666.667,-69.145924371101
159950000.0,-71.01614169930744
164948333.333,-70.14656536797402
169946666.667,-79.32664574642257
174945000.0,-70.58246516433732
179943333.333,-75.08294455392503
184941666.667,-74.2000702563383
189940000.0,-72.44614727764639
194938333.333,-69.94046423652759
199936666.667,-68.06501711201025
204935000.0,-70.65190738145485
209933333.333,-75.93103097287744
214931666.667,-70.37436946787304
219930000.0,-72.56177127412586
224928333.333,-70.68719407018853
229926666.667,-68.93308883032121
234925000.0,-67.99205202011576
239923333.333,-70.33993927797897
244921666.667,-73.38718917710314
249920000.0,-77.12082193639795
254918333.333,-73.95590376706411
259916666.667,-67.41357454629564
264915000.0,-73.65503483119421
269913333.333,-76.8192936988127
274911666.667,-74.74349977471404
279910000.0,-70.98792040080919
284908333.333,-72.13884234854984
289906666.667,-69.59525037145855
294905000.0,-70.87876713050555
299903333.333,-69.45052941219375
304901666.667,-69.6409573044056
309900000.0,-74.02349355193776
314898333.333,-70.89603100990834
319896666.667,-77.15780592095098
324895000.0,-73.17166077029287
329893333.333,-70.38429611823203
334891666.667,-72.89029654832518
339890000.0,-68.62749988041716
344888333.333,-66.6339105940633
349886666.667,-69.17183775453904
354885000.0,-66.07725262495667
359883333.333,-70.11630430295018
364881666.667,-70.62946875724194
369880000.0,-80.03620557152921
374878333.333,-69.65514081948234
379876666.667,-70.76402561243201
384875000.0,-71.53167259607814
389873333.333,-71.82204090300297
394871666.667,-73.01257209780344
399870000.0,-75.69116166413895
404868333.333,-71.56325851141307
409866666.667,-71.58351173454695
414865000.0,-74.05410097919449
419863333.333,-72.27791290159111
424861666.667,-73.92376465749207
429860000.0,-72.98481700770051
434858333.333,-67.44534239160379
439856666.667,-70.2342584975206
444855000.0,-74.57329336334939
449853333.333,-72.12492718910153
454851666.667,-69.87877780663189
459850000.0,-73.60689910944899
464848333.333,-72.16702406132396
469846666.667,-69.39058799883426
474845000.0,-75.92711544606465
479843333.333,-72.28354712444303
484841666.667,-69.90345959722218
489840000.0,-70.7730656545343
494838333.333,-69.79914626404332
499836666.667,-70.87204511734328
504835000.0,-72.26991818870967
509833333.333,-69.6779379710735
514831666.667,-73.16148781407277
519830000.0,-69.47130261495319
524828333.333,-72.08081804640821
529826666.667,-69.88991574706708
534825000.0,-70.06047333528257
539823333.333,-70.33444798993251
544821666.667,-70.69448915626973
549820000.0,-70.13153187098548
554818333.333,-76.47205541770354
559816666.667,-70.04053301378997
564815000.0,-70.29293075914167
569813333.333,-74.39360786439312
574811666.667,-72.02574333129492
579810000.0,-71.46443749815138
584808333.333,-71.62532835203359
589806666.667,-74.0553489873803
594805000.0,-70.20483823044938
599803333.333,-70.63163824369495
604801666.667,-72.55411522374116
609800000.0,-71.57248166074672
614798333.333,-74.26567865386741
619796666.667,-71.65712783942138
624795000.0,-71.53711115780375
629793333.333,-71.34069456501547
634791666.667,-71.45678772211627
639790000.0,-71.04919949479778
644788333.333,-73.2050577442064
649786666.667,-69.25331217164491
654785000.0,-73.28119362782671
659783333.333,-71.07150415211046
664781666.667,-73.7278918011353
669780000.0,-69.28704450494126
674778333.333,-68.46412661164317
679776666.667,-74.67366167290481
684775000.0,-70.17110543511981
689773333.333,-70.07068201119706
694771666.667,-71.96365183033859
699770000.0,-72.83480707901579
704768333.333,-70.99092100097785
709766666.667,-69.30991388587675
714765000.0,-74.88191300761957
719763333.333,-68.23665079240962
724761666.667,-70.20167353388092
729760000.0,-70.65952045641436
734758333.333,-69.65410267655199
739756666.667,-70.99617770416009
744755000.0,-70.83619901556786
749753333.333,-70.50669488941472
754751666.667,-70.13146830896264
759750000.0,-69.54771053071808
764748333.333,-70.61748351267897
769746666.667,-69.49032721600994
774745000.0,-71.49565288295761
779743333.333,-71.75984212217296
784741666.667,-69.13703808715306
789740000.0,-71.59020512929496
794738333.333,-71.79784701052513
799736666.667,-70.45400830279753
804735000.0,-70.63533987949293
809733333.333,-71.81924490082056
814731666.667,-70.5474382000729
819730000.0,-70.80788363418743
824728333.333,-71.90037791321322
829726666.667,-68.73546137680125
834725000.0,-72.51863964928242
839723333.333,-68.15150567737125
844721666.667,-69.20620874691616
849720000.0,-69.71227608727386
854718333.333,-70.86837389350211
859716666.667,-69.42788287185648
864715000.0,-71.379237175273
869713333.333,-69.68368088664333
874711666.667,-71.22616133431919
879710000.0,-71.59090632782231
884708333.333,-70.03959300354626
889706666.667,-70.07168462037585
894705000.0,-69.37863735611694
899703333.333,-73.00890342527927
904701666.667,-70.53223116300575
909700000.0,-68.9140919323411
914698333.333,-69.47657940114951
919696666.667,-72.50880389595768
924695000.0,-72.47439222228181
929693333.333,-69.911772765931
934691666.667,-69.28365351136415
939690000.0,-69.37725667294033
944688333.333,-71.70173170318596
949686666.667,-69.90883569753433
954685000.0,-70.0112483957847
959683333.333,-68.54792107696605
964681666.667,-70.15334307524773
969680000.0,-68.11051166398923
974678333.333,-71.69683425184917
979676666.667,-69.80080097098022
984675000.0,-71.25984933781899
989673333.333,-70.98518768457993
994671666.667,-69.0307650642724
999670000.0,-69.2905733030131
1004668333.33,-68.46886779433657
1009666666.67,-71.7514535633765
1014665000.0,-69.62947686720287
1019663333.33,-69.87816880128393
1024661666.67,-70.48963693611634
1029660000.0,-69.7314031121263
1034658333.33,-69.74451779164863
1039656666.67,-70.17015037654058
1044655000.0,-68.8474594838013
1049653333.33,-70.37143395992003
1054651666.67,-70.33637981063742
1059650000.0,-70.6876693218067
1064648333.33,-71.23451405542602
1069646666.67,-71.15283554024073
1074645000.0,-72.20438267219599
1079643333.33,-71.12646111991569
1084641666.67,-71.0108815668957
1089640000.0,-69.92665211511665
1094638333.33,-70.70242974504646
1099636666.67,-69.56368267818593
1104635000.0,-70.70479172480088
1109633333.33,-68.49107874528808
1114631666.67,-70.61097715576669
1119630000.0,-71.42535619736313
1124628333.33,-71.19138812672685
1129626666.67,-70.11475105287629
1134625000.0,-69.46336088779712
1139623333.33,-70.35348232494445
1144621666.67,-69.36541263571628
1149620000.0,-68.6949838731621
1154618333.33,-70.62169931524427
1159616666.67,-69.30717447559311
1164615000.0,-69.75206628363136
1169613333.33,-70.65227119103345
1174611666.67,-69.90646909015767
1179610000.0,-69.71504530714944
1184608333.33,-69.64550121038707
1189606666.67,-69.21734941874666
1194605000.0,-71.25913812010124
1199603333.33,-71.112083322055
1204601666.67,-69.36674824426275
1209600000.0,-68.18219146815694
1214598333.33,-67.69099538854775
1219596666.67,-70.02277955960315
1224595000.0,-70.07685565794768
1229593333.33,-69.30995216067217
1234591666.67,-69.3344233988287
1239590000.0,-68.89267122692965
1244588333.33,-69.02218827954951
1249586666.67,-69.16966790600688
1254585000.0,-70.84369187622738
1259583333.33,-71.11143220155522
1264581666.67,-68.26301659319547
1269580000.0,-69.35759745433442
1274578333.33,-69.62649704748718
1279576666.67,-68.495165070798
1284575000.0,-70.03887938970796
1289573333.33,-69.54266903281356
1294571666.67,-69.99658969405525
1299570000.0,-68.16519829427855
1304568333.33,-70.03029772246835
1309566666.67,-70.81197438536763
1314565000.0,-69.94850186670446
1319563333.33,-68.33380478079728
1324561666.67,-69.61624542472505
1329560000.0,-68.80250391166102
1334558333.33,-70.32413860722373
1339556666.67,-69.7631254167267
1344555000.0,-67.26322486248526
1349553333.33,-69.35717913086248
1354551666.67,-69.84777354266137
1359550000.0,-68.39999118520302
1364548333.33,-70.2472586621475
1369546666.67,-68.61493676727795
1374545000.0,-70.01408433450264
1379543333.33,-68.51045684066784
1384541666.67,-69.56386103850976
1389540000.0,-68.87211120938494
1394538333.33,-69.90942905605749
1399536666.67,-68.9161356146027
1404535000.0,-68.53167226770661
1409533333.33,-69.72670678707362
1414531666.67,-69.86669196577553
1419530000.0,-68.55641425846214
1424528333.33,-71.32902694271843
1429526666.67,-68.6384464387306
1434525000.0,-68.65630807717272
1439523333.33,-68.10401454563956
1444521666.67,-67.65131650121673
1449520000.0,-67.87063466963664
1454518333.33,-68.37064121149234
1459516666.67,-69.45829164454085
1464515000.0,-72.14981293745579
1469513333.33,-68.0393960099945
1474511666.67,-69.01855987061249
1479510000.0,-68.51179945530919
1484508333.33,-68.13896383740453
1489506666.67,-67.9028556209519
1494505000.0,-70.01190644916426
1499503333.33,-68.53862609496622
1504501666.67,-68.87222904286045
1509500000.0,-67.55273422106127
1514498333.33,-68.94097377983242
1519496666.67,-68.09050232460429
1524495000.0,-67.95488120715048
1529493333.33,-67.17094962638353
1534491666.67,-68.63263183812361
1539490000.0,-68.00899205827535
1544488333.33,-66.87917867546219
1549486666.67,-67.7776674012764
1554485000.0,-69.10971424150421
1559483333.33,-69.94249847790846
1564481666.67,-67.57749244305069
1569480000.0,-69.5422566173352
1574478333.33,-69.7583819670113
1579476666.67,-67.4244793917312
1584475000.0,-68.88707653638473
1589473333.33,-67.74223152065777
1594471666.67,-69.55401472948958
1599470000.0,-67.47964216830331
1604468333.33,-67.99245961883429
1609466666.67,-67.24711633113739
1614465000.0,-68.43385881180646
1619463333.33,-68.69487740363132
1624461666.67,-69.38337080027728
1629460000.0,-67.2441363389551
1634458333.33,-68.42768755841558
1639456666.67,-67.33252029546453
1644455000.0,-69.72897458180589
1649453333.33,-70.07705010144211
1654451666.67,-67.43350239925559
1659450000.0,-68.7543317365265
1664448333.33,-69.87488080087103
1669446666.67,-69.11098331715331
1674445000.0,-66.38573797207141
1679443333.33,-67.96447990982445
1684441666.67,-69.45394729477255
1689440000.0,-67.7454416131821
1694438333.33,-68.57259645865055
1699436666.67,-70.86425323384913
1704435000.0,-68.42764160890594
1709433333.33,-67.58579004861383
1714431666.67,-68.59976917983467
1719430000.0,-67.45792760321504
1724428333.33,-67.5058422619457
1729426666.67,-70.27952911679418
1734425000.0,-68.36507037029504
1739423333.33,-69.63618465915094
1744421666.67,-68.34285542276655
1749420000.0,-68.77430694858438
1754418333.33,-68.78775548461607
1759416666.67,-68.991620254243
1764415000.0,-66.96302777667296
1769413333.33,-67.86283802485299
1774411666.67,-68.67404287018186
1779410000.0,-70.90637806666456
1784408333.33,-69.46365823369719
1789406666.67,-68.92286838360853
1794405000.0,-68.90334198968105
1799403333.33,-68.24388183063432
1804401666.67,-68.52696149467285
1809400000.0,-67.18150359635936
1814398333.33,-67.27081497458632
1819396666.67,-68.21544168640203
1824395000.0,-67.84979961753244
1829393333.33,-68.34976820242854
1834391666.67,-67.15891010174457
1839390000.0,-67.25665043303772
1844388333.33,-67.12284586613742
1849386666.67,-67.54641192679938
1854385000.0,-68.76605402481078
1859383333.33,-68.20342942600352
1864381666.67,-66.5322626888206
1869380000.0,-67.68395054080528
1874378333.33,-67.98909814434707
1879376666.67,-67.50285342398466
1884375000.0,-67.76581067154461
1889373333.33,-67.79256960298666
1894371666.67,-69.19717956967273
1899370000.0,-68.20719204258876
1904368333.33,-67.41491754520608
1909366666.67,-67.94066710918558
1914365000.0,-68.1930078105846
