Frequency_Hz,Magnitude_dB
10000000.0,-59.12793089203434
14998333.3333,-60.32981378497724
19996666.6667,-59.33272186115387
24995000.0,-59.18856545711972
29993333.3333,-58.91121501737777
34991666.6667,-59.76009286995157
39990000.0,-60.80998430778977
44988333.3333,-59.69818627067676
49986666.6667,-57.88953144531383
54985000.0,-63.35304962435671
59983333.3333,-58.08731052328304
64981666.6667,-59.65597174599765
69980000.0,-59.838359893238135
74978333.3333,-59.48420096274674
79976666.6667,-61.162151118517556
84975000.0,-57.865484119406005
89973333.3333,-59.33508380585685
94971666.6667,-61.36052858981046
99970000.0,-59.08452083745107
104968333.333,-58.45999344520546
109966666.667,-60.89874694421856
114965000.0,-58.6885194225006
119963333.333,-58.08072052801904
124961666.667,-58.553628544190765
129960000.0,-59.6030779746596
134958333.333,-58.122966496277044
139956666.667,-60.76758821660262
144955000.0,-58.87856684947025
149953333.333,-59.13277973039858
154951666.667,-58.98172328631035
159950000.0,-58.51028780358927
164948333.333,-59.711308611970225
169946666.667,-59.4490534069171
174945000.0,-60.12684497910161
179943333.333,-58.319920717764845
184941666.667,-60.3363131660921
189940000.0,-59.2213739157618
194938333.333,-59.941065590950785
199936666.667,-60.06176813595562
204935000.0,-58.77898048953725
209933333.333,-59.67761113336089
214931666.667,-59.3780247190568
219930000.0,-60.1305278783095
224928333.333,-59.87091114571014
229926666.667,-59.837424859696156
234925000.0,-59.609622607653556
239923333.333,-60.44872836439719
244921666.667,-59.70415469289625
249920000.0,-60.84125138921415
254918333.333,-60.64458377383956
259916666.667,-58.20322290619187
264915000.0,-60.153406196423155
269913333.333,-60.28319612784945
274911666.667,-59.862196412344765
279910000.0,-60.706578074358426
284908333.333,-59.62598284358112
289906666.667,-61.44569724665829
294905000.0,-60.480565298281086
299903333.333,-59.701725530455974
304901666.667,-60.77108061334235
309900000.0,-60.70052923393941
314898333.333,-60.367094781436236
319896666.667,-59.709494640915885
324895000.0,-62.4896770771005
329893333.333,-61.300276551717225
334891666.667,-59.64996918126856
339890000.0,-59.67597720106896
344888333.333,-60.389373824807336
349886666.667,-60.49193141910038
354885000.0,-59.826900262234986
359883333.333,-60.281720648144805
364881666.667,-60.591183386679475
369880000.0,-60.65721847397412
374878333.333,-60.609961638270455
379876666.667,-59.180660418956556
384875000.0,-59.93657216689479
389873333.333,-60.073817189012175
394871666.667,-59.13421168833796
399870000.0,-60.50993830738899
404868333.333,-59.47131768673748
409866666.667,-59.45571123157222
414865000.0,-59.74413368266138
419863333.333,-59.16879103668101
424861666.667,-60.3637163717486
429860000.0,-59.09241611986027
434858333.333,-58.966846513670994
439856666.667,-59.58685112474977
444855000.0,-59.64710789340305
449853333.333,-59.48737824298356
454851666.667,-60.30269550178217
459850000.0,-59.97238766843006
